ID	ID_rekl	LiczbaFiksacji	CzasFiksacji	CzasNaAOI	PLEC	WIEK4	pismo	tematyka	rodzaj	wielkosc	branza	ADReach	ADExp	ADExpTime	Zauważalność		
ID0101000001588	7582	1	354	354	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	5,52864	3,10986	100		
ID0101000001588	7584	1	343	343	2	2	glamou	magazyny luksusowe	normal	1/2 Page	Non profit	0,4	3,317184	1,589484	88,88888889		
ID0101000001594	7554	1	734	734	2	2	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	1,105728	0,34554	100		
ID0101000001594	7560	1	346	346	2	2	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	2,487888	2,626104	92,85714286		
ID0101000001594	7570	1	356	356	2	2	glamou	magazyny luksusowe	normal	Full Page	Turystyka i sport	0,4	1,243944	0,898404	100		
ID0101000001594	7568	1	300	300	2	2	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	16,378596	15,272868	64,28571429		
ID0101000001594	7569	1	300	300	2	2	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	2,487888	2,004132	78,57142857		
ID0101000001594	7577	1	444	444	2	2	glamou	magazyny luksusowe	edytorial	Full Page	Obuwie i odzież	0,4	1,243944	0,69108	100		
ID0101000001600	7558	1	467	467	2	3	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	1,243944	0,414648	100		
ID0101000001600	7560	1	1021	1021	2	3	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	6,288828	3,317184	92,85714286		
ID0101000001600	7561	1	366	366	2	3	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	26,813904	18,31362	92,85714286		
ID0101000001600	7588	1	355	355	2	3	glamou	magazyny luksusowe	normal	1/2 Page	Zdrowie	0,4	26,813904	16,655028	75		
ID0101000001600	7564	1	545	545	2	3	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	20,525076	13,199628	78,57142857		
ID0101000001600	7569	1	433	433	2	3	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	11,05728	6,703476	78,57142857		
ID0101000001600	7577	1	420	420	2	3	glamou	magazyny luksusowe	edytorial	Full Page	Obuwie i odzież	0,4	7,532772	3,939156	100		
ID0101000001600	7584	1	734	734	2	3	glamou	magazyny luksusowe	normal	1/2 Page	Non profit	0,4	1,865916	1,03662	88,88888889		
ID0101000001612	7560	1	572	572	2	2	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	29,71644	31,44414	92,85714286		
ID0101000001612	7567	1	814	814	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	1,589484	0,69108	100		
ID0101000001612	7577	1	884	884	2	2	glamou	magazyny luksusowe	edytorial	Full Page	Obuwie i odzież	0,4	36,005268	37,180104	100		
ID0101000001612	7583	1	823	823	2	2	glamou	magazyny luksusowe	edytorial	Full Page	Zdrowie	0,4	10,988172	6,288828	100		
ID0101000001612	7585	1	759,7804661	759,7804661	2	2	glamou	magazyny luksusowe	normal	Double Page	Kosmetyki	0,4	9,398688	5,805072	100		
ID010110002	8162	1	322	322	2	2	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	1,589484	1,03662	100		
ID010110002	8175	1	378	378	2	2	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	10,919064	8,569392	100		
ID010110002	8156	1	444	444	2	2	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	1,38216	0,760188	100		
ID010110002	8163	1	333	333	2	2	elle	magazyny luksusowe	normal	Mniejszy format	Kosmetyki	0,6	6,841692	5,252208	100		
ID010110002	8168	1	355	355	2	2	elle	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,6	1,796808	2,349672	100		
ID010110003	8162	1	600	600	2	3	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	3,593616	1,313052	100		
ID010110003	8165	1	377	377	2	3	elle	magazyny luksusowe	normal	Full Page	Kosmetyki	0,6	7,118124	5,252208	100		
ID010110003	8144	1	300	300	2	3	elle	magazyny luksusowe	edytorial	Full Page	Obuwie i odzież	0,6	7,394556	4,008264	100		
ID010110003	8175	1	721	721	2	3	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	8,016528	6,288828	100		
ID010110003	8156	1	399	399	2	3	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	8,6385	3,662724	100		
ID010110003	8150	1	432	432	2	3	elle	magazyny luksusowe	edytorial	Full Page	Obuwie i odzież	0,6	9,467796	6,703476	100		
ID010110003	8119	1	334	334	2	3	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	4,14648	1,796808	100		
ID010110003	8161	1	344	344	2	3	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	2,07324	1,243944	100		
ID010110003	8131	1	508	508	2	3	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	10,642632	6,772584	100		
ID010110003	8143	1	543	543	2	3	elle	magazyny luksusowe	edytorial	Full Page	Żywność	0,6	11,40282	6,21972	100		
ID010110005	8154	1	1877	1877	2	2	elle	magazyny luksusowe	normal	Full Page	Kosmetyki	0,6	1,243944	1,38216	100		
ID010110005	8128	1	300	300	2	2	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	5,044884	3,317184	100		
ID010110010	8122	1	576	576	2	1	elle	magazyny luksusowe	edytorial	Double Page	Kosmetyki	0,6	1,243944	0,414648	100		
ID010110010	8141	1	420	420	2	1	elle	magazyny luksusowe	edytorial	Full Page	Kosmetyki	0,6	1,243944	1,105728	100		
ID010110010	8175	1	832	832	2	1	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	3,042	2,34	100		
ID010110010	8150	1	610	610	2	1	elle	magazyny luksusowe	edytorial	Full Page	Obuwie i odzież	0,6	1,56	0,546	100		
ID010110010	8172	1	301	301	2	1	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	6,084	6,63	66,66666667		
ID010110010	8128	1	322	322	2	1	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	4,602	3,588	100		
ID010110010	8143	1	312	312	2	1	elle	magazyny luksusowe	edytorial	Full Page	Żywność	0,6	20,67	21,684	100		
ID010110016	8132	1	833	833	2	1	elle	magazyny luksusowe	normal	Full Page	Kosmetyki	0,6	4,602	2,574	100		
ID010110034	8175	1	356	356	2	3	elle	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,6	11,466	6,708	100		
ID010110034	8159	1	523	523	2	3	elle	magazyny luksusowe	normal	Full Page	Kosmetyki	0,6	9,204	6,006	100		
